SN  ,  lost, People, died, Zika, Fisher, International, your, publicist, first, Carrie, virus, best, Trump, actor, years, George, Michael, Breaking, Zsa, daughter, old, role, Actor, longtime, sitcom, Thicke, decades, author, dies, off, now, Reynolds, Turner, Debbie, credit, APR, NextAdvisor, career, John, Star, Singer, Search, Wars, Growing, away, Glenn, Alan, Actress, day, Lake, about,Category
133,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
134,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0, opinions
135,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1, opinions
136,0,0,0,0,0,3,5,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
137,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
138,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0, opinions
139,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
140,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
141,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
142,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
143,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2, opinions
144,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2, opinions
145,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
146,0,0,0,19,0,4,0,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
147,0,0,0,0,0,3,3,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
148,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, opinions
149,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
150,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
151,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1, opinions
152,0,0,0,0,0,3,3,0,1,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
153,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
154,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
155,0,1,0,0,0,3,3,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2, opinions
156,0,0,0,0,0,3,6,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
157,0,0,0,0,0,3,3,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, opinions
158,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, opinions
159,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, opinions
160,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2, opinions
164,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
165,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
166,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
167,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3, politics
168,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1, politics
169,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
170,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
171,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1, politics
172,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0, politics
173,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0, politics
174,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0, politics
176,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1, politics
177,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1, politics
185,12,10,9,0,4,3,0,3,1,3,0,3,0,4,2,3,3,1,2,2,2,3,2,3,3,6,1,1,7,0,0,2,1,2,0,0,0,1,1,1,2,0,1,3,1,0,7,2,1,0,0, us
186,12,12,11,0,3,3,2,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0, us
187,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, us
188,12,12,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0, us
189,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0, us
190,13,12,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,0,1,0,1,1,1,0,0,0,2,1,1,1,0,1,1,2,1,1,1,1,1,0, us
191,12,12,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0, us
192,13,13,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0, us
193,10,10,8,0,3,3,0,3,1,2,0,2,0,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0, us
194,12,12,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0, us
195,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, us
196,12,12,11,0,3,3,1,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2,0,1, us
197,12,12,11,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,2,1,1,0,1,1,1,1,1,1,1,1,0, us
198,12,12,12,0,3,0,1,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, us
199,11,11,10,0,3,3,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1, us
200,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, us
