SN  ,  lost, People, died, Zika, Fisher, International, your, publicist, first, Carrie, virus, best, Trump, actor, years, George, Michael, Breaking, Zsa, daughter, old, role, Actor, longtime, sitcom, Thicke, decades, author, dies, off, now, Reynolds, Turner, Debbie, credit, APR, NextAdvisor, career, John, Star, Singer, Search, Wars, Growing, away, Glenn, Alan, Actress, day, Lake, about,Category
27,12,12,10,0,3,0,2,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2, entertainment
28,0,1,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, entertainment
29,0,0,1,0,0,0,4,0,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0, entertainment
30,13,13,11,0,3,0,0,3,2,2,0,2,0,5,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0, entertainment
31,10,10,9,0,4,0,0,3,1,3,0,3,0,2,2,8,3,1,2,2,2,2,2,2,2,2,2,1,9,0,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,0,1,2,1,0,0, entertainment
32,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,12,12,1,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,1,1,2,0,2,1,0,0,0,0,0,0,0,0,1, entertainment
33,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,29,38,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0, entertainment
34,10,10,9,0,4,0,0,4,1,3,0,2,0,3,2,3,3,1,2,2,2,2,2,2,2,2,2,1,7,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,7,1,2,1,0,0, entertainment
35,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
36,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0, entertainment
37,12,12,11,0,3,0,1,3,2,2,0,2,0,2,2,1,1,1,2,2,3,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,2,0, entertainment
38,12,12,11,0,3,0,0,3,3,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
39,12,12,12,0,3,0,0,3,2,2,0,3,0,2,2,1,1,1,2,2,2,3,3,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
40,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,3,2,3,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
41,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
42,12,12,13,0,3,0,0,3,2,2,0,2,0,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
43,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,0, entertainment
44,12,12,13,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
45,10,10,9,0,4,0,0,3,1,3,0,3,0,6,2,3,3,1,2,2,2,2,2,2,2,2,2,1,7,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,0,1,2,1,0,0, entertainment
46,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,2,0, entertainment
47,12,12,12,0,3,0,0,3,2,2,0,3,0,2,2,2,1,1,2,2,2,3,3,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1, entertainment
49,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
50,14,13,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0, entertainment
51,3,3,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0, entertainment
52,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
53,12,12,12,0,3,0,0,3,2,2,0,3,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
54,12,12,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,2,0, entertainment
55,1,0,1,0,1,0,3,0,0,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,7,1,2,1,0,1,2,2,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0, entertainment
