centroid2,0.04545,0.0,0.54545,3.54545,0.0,2.36364,0.0,0.0,1.86364,
85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,
87.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
89.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
97.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,
102.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,
116.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,3.0,
117.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,2.0,
122.0,0.0,0.0,0.0,23.0,0.0,4.0,0.0,0.0,2.0,
126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
135.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
137.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
146.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,2.0,
158.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
160.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,
168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
173.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,
183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
189.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,
195.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,
201.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,
202.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,
