Centroids,  lost, People, died, Zika, Fisher, International, your, publicist, first,No. Articles
centroid0,9.89423,9.84615,9.31731,0,3.78846,0.60577,0.15385,2.54808,1.67308,104
centroid2,0.04545,0,0.54545,3.54545,0,2.36364,0,0,1.86364,22
centroid3,0.01639,0.01639,0.06557,7.45902,0,2.70492,3.13115,0,0.77049,61
centroid4,0.22222,0,0.38889,0.16667,0.22222,0,3.66667,0,0,18
