Centroids,  lost, People, died, Zika, Fisher, International, your, publicist, first,No. Articles
centroid0,0.0566,0.00943,0.22642,5.0566,0.03774,2.04717,2.4434,0,0.86792,106
centroid3,10.39394,10.34343,9.77778,0,3.9798,0.63636,0.14141,2.67677,1.71717,99
